frame,leg,theta1_deg,theta2_deg,theta3_deg,d_theta1_deg,d_theta2_deg,residual_deg,residual_steps,foot_x_mm,foot_y_mm,foot_z_mm,signed_reach_mm,status
G0386,L3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0387,R1,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0387,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0387,R3,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0387,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0387,L2,-13.5000,27.0000,94.5000,-9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,-11.5012,-129.7131,49.2673,IK_OK
G0387,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0388,R1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0388,R2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0388,R3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0388,L1,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0388,L2,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0388,L3,13.5000,0.0000,94.5000,9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,25.0636,-112.2759,107.3637,IK_OK
G0389,R1,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
G0389,R2,13.5000,27.0000,94.5000,9.536743e-07,3.814697e-06,3.814697e-06,2.825702e-05,47.9060,11.5012,-129.7131,49.2673,IK_OK
G0389,R3,-13.5000,0.0000,94.5000,-9.536743e-07,0.000000e+00,9.536743e-07,7.064254e-06,104.3972,-25.0636,-112.2759,107.3637,IK_OK
